deploy_ts,pod_name,workload_type,scheduler
1779100304.570818881,fusion-workload-143,fusion,dqn-scheduler
1779100309.824841167,fusion-workload-144,fusion,dqn-scheduler
1779100315.093225773,fusion-workload-145,fusion,dqn-scheduler
1779100320.332138738,fusion-workload-146,fusion,dqn-scheduler
1779100325.567354088,fusion-workload-147,fusion,dqn-scheduler
1779100330.822023184,fusion-workload-148,fusion,dqn-scheduler
1779100336.077890362,fusion-workload-149,fusion,dqn-scheduler
1779100341.317358460,fusion-workload-150,fusion,dqn-scheduler
1779100346.554629388,fusion-workload-151,fusion,dqn-scheduler
1779100351.798063740,fusion-workload-152,fusion,dqn-scheduler
1779100357.039540604,fusion-workload-153,fusion,dqn-scheduler
1779100362.290397743,fusion-workload-154,fusion,dqn-scheduler
1779100367.528067437,fusion-workload-155,fusion,dqn-scheduler
1779100372.772108490,fusion-workload-156,fusion,dqn-scheduler
1779100378.009314477,fusion-workload-157,fusion,dqn-scheduler
1779100383.245986886,fusion-workload-158,fusion,dqn-scheduler
1779100388.495049561,fusion-workload-159,fusion,dqn-scheduler
1779100393.735278788,fusion-workload-160,fusion,dqn-scheduler
1779100398.985925879,fusion-workload-161,fusion,dqn-scheduler
1779100404.249439160,fusion-workload-162,fusion,dqn-scheduler
1779100409.511328107,fusion-workload-163,fusion,dqn-scheduler
1779100414.758678402,fusion-workload-164,fusion,dqn-scheduler
1779100419.995490817,fusion-workload-165,fusion,dqn-scheduler
1779100425.238274675,fusion-workload-166,fusion,dqn-scheduler
1779100430.460136901,fusion-workload-167,fusion,dqn-scheduler
1779100435.758713840,fusion-workload-168,fusion,dqn-scheduler
1779100440.981819068,fusion-workload-169,fusion,dqn-scheduler
1779100446.234318457,fusion-workload-170,fusion,dqn-scheduler
1779100451.479308061,fusion-workload-171,fusion,dqn-scheduler
1779100456.717159763,fusion-workload-172,fusion,dqn-scheduler
1779100461.966485102,fusion-workload-173,fusion,dqn-scheduler
1779100467.212340654,fusion-workload-174,fusion,dqn-scheduler
1779100472.450396116,fusion-workload-175,fusion,dqn-scheduler
1779100477.701670774,fusion-workload-176,fusion,dqn-scheduler
1779100482.947503020,fusion-workload-177,fusion,dqn-scheduler
1779100488.175701012,fusion-workload-178,fusion,dqn-scheduler
1779100493.420318418,fusion-workload-179,fusion,dqn-scheduler
1779100498.679331087,fusion-workload-180,fusion,dqn-scheduler
1779100503.913861650,fusion-workload-181,fusion,dqn-scheduler
1779100509.163214735,fusion-workload-182,fusion,dqn-scheduler
1779100514.412625886,fusion-workload-183,fusion,dqn-scheduler
1779100519.643135102,fusion-workload-184,fusion,dqn-scheduler
1779100524.871186938,fusion-workload-185,fusion,dqn-scheduler
1779100530.133215962,fusion-workload-186,fusion,dqn-scheduler
1779100535.361695847,fusion-workload-187,fusion,dqn-scheduler
1779100540.634275371,fusion-workload-188,fusion,dqn-scheduler
1779100545.876430643,fusion-workload-189,fusion,dqn-scheduler
1779100551.133361784,fusion-workload-190,fusion,dqn-scheduler
1779100556.353109319,fusion-workload-191,fusion,dqn-scheduler
1779100561.599365777,fusion-workload-192,fusion,dqn-scheduler
1779100566.845622566,fusion-workload-193,fusion,dqn-scheduler
1779100572.101679229,fusion-workload-194,fusion,dqn-scheduler
1779100577.352475705,fusion-workload-195,fusion,dqn-scheduler
1779100582.584987503,fusion-workload-196,fusion,dqn-scheduler
1779100587.818259229,fusion-workload-197,fusion,dqn-scheduler
1779100593.066768121,fusion-workload-198,fusion,dqn-scheduler
1779100598.317948561,fusion-workload-199,fusion,dqn-scheduler
1779100603.584226584,fusion-workload-200,fusion,dqn-scheduler
